ticker,date,open,high,low,close,volume,dividends,closeunadj,lastupdated
ZZ,2013-03-15,2.21,2.21,2.19,2.19,1518200.0,0.0,2.19,2018-05-16
ZZ,2013-03-14,2.2,2.21,2.2,2.21,275000.0,0.0,2.21,2019-05-24
ZZ,2013-03-13,2.2,2.21,2.2,2.21,308900.0,0.0,2.21,2019-05-24
ZZ,2013-03-12,2.2,2.21,2.2,2.21,160000.0,0.0,2.21,2019-05-24
ZZ,2013-03-11,2.2,2.21,2.2,2.2,407100.0,0.0,2.2,2019-05-24
ZZ,2013-03-08,2.21,2.21,2.2,2.2,6352900.0,0.0,2.2,2019-05-24
ZZ,2013-03-07,2.17,2.19,2.17,2.19,353900.0,0.0,2.19,2019-05-24
ZZ,2013-03-06,2.18,2.19,2.17,2.17,250500.0,0.0,2.17,2019-05-24
ZZ,2013-03-05,2.17,2.2,2.16,2.19,952000.0,0.0,2.19,2019-05-24
ZZ,2013-03-04,2.18,2.18,2.15,2.17,2009900.0,0.0,2.17,2019-05-24
ZZ,2013-03-01,2.18,2.19,2.18,2.19,1103400.0,0.0,2.19,2019-05-24
ZZ,2013-02-28,2.18,2.19,2.18,2.18,684000.0,0.0,2.18,2019-05-24
ZZ,2013-02-27,2.17,2.19,2.17,2.19,680600.0,0.0,2.19,2019-05-24
ZZ,2013-02-26,2.17,2.18,2.17,2.18,741900.0,0.0,2.18,2019-05-24
ZZ,2013-02-25,2.18,2.18,2.17,2.17,449000.0,0.0,2.17,2019-05-24
ZZ,2013-02-22,2.18,2.18,2.17,2.18,738100.0,0.0,2.18,2019-05-24
ZZ,2013-02-21,2.17,2.18,2.17,2.17,1334400.0,0.0,2.17,2019-05-24
ZZ,2013-02-20,2.18,2.19,2.17,2.17,676700.0,0.0,2.17,2019-05-24
ZZ,2013-02-19,2.19,2.19,2.18,2.19,588300.0,0.0,2.19,2019-05-24
ZZ,2013-02-15,2.19,2.19,2.17,2.19,307400.0,0.0,2.19,2019-05-24
ZZ,2013-02-14,2.17,2.19,2.17,2.17,145200.0,0.0,2.17,2019-05-24
ZZ,2013-02-13,2.19,2.19,2.17,2.17,201900.0,0.0,2.17,2019-05-24
